id,name,country,region_fullname,winary_fullname,url,bottle_url
1749657,Barolo Monfalletto,Italy,Barolo,Cordero di Montezemolo,https://www.vivino.com/US-CA/en/barolo-monfalletto/w/1749657,https://images.vivino.com/thumbs/is67CDMLRgW_jjLQJDBQoQ_pb_x600.png
1158263,Amarone della Valpolicella Riserva,Italy,Amarone della Valpolicella,Rocca Sveva,https://www.vivino.com/US-CA/en/amarone-della-valpolicella-riserva/w/1158263,https://images.vivino.com/thumbs/3J2rp7LmS8qix1cTeWowfg_pb_x600.png
2325978,Marsala Superiore Riserva,Italy,Marsala,Marco de Bartoli,https://www.vivino.com/US-CA/en/marsala-superiore-riserva/w/2325978,https://images.vivino.com/thumbs/tdu-gdNYQcOObPlTomxIYw_pb_x600.png
94968,Brunello di Montalcino,Italy,Brunello di Montalcino,Collosorbo,https://www.vivino.com/US-CA/en/brunello-di-montalcino/w/94968,https://images.vivino.com/thumbs/Hbd8B3jWQmauZrnoJ372ng_pb_x600.png
23094,25 anni Montefalco Sagrantino,Italy,Montefalco Sagrantino,Arnaldo-Caprai,https://www.vivino.com/US-CA/en/twentyfive-anni-montefalco-sagrantino/w/23094,https://images.vivino.com/thumbs/5dJZWzFkSRiWD6fMDWftTQ_pb_x600.png
1207221,Cannubi Barolo,Italy,Barolo,E. Pira & Figli,https://www.vivino.com/US-CA/en/cannubi-barolo/w/1207221,https://images.vivino.com/thumbs/mMHgii_uQuuU77MaEi2KcQ_pb_x600.png
1626074,Cerretta Barolo Riserva (Vigna Bricco),Italy,Barolo,Elio Altare,https://www.vivino.com/US-CA/en/cerretta-barolo-riserva-vigna-bricco-barolo/w/1626074,https://images.vivino.com/thumbs/BDtbmegxRkuP30lswCOEFQ_pb_x600.png
1100125,Barolo Bricco Delle Viole,Italy,Barolo,G.D. Vajra,https://www.vivino.com/US-CA/en/barolo-bricco-delle-viole/w/1100125,https://images.vivino.com/thumbs/osYvDm2MTqi1BPl5uPf3Mw_pb_x600.png
1158237,Amarone della Valpolicella Classico Riserva,Italy,Amarone della Valpolicella Classico,Caterina Zardini,https://www.vivino.com/US-CA/en/amarone-della-valpolicella-classico-riserva/w/1158237,https://images.vivino.com/thumbs/PqsuuCfPQi2wxsXtSqjEfg_pb_x600.png
1884612,Petit Verdot,Portugal,Duriense,Quinta da Romaneira,https://www.vivino.com/US-CA/en/petit-verdot/w/1884612,https://images.vivino.com/thumbs/Q13PnzyHRYCm41lTXWqYEQ_pb_x600.png
